Date,Time,SWR,RSSI(dB),RxBt(V),Cels(gRe),Tmp2(@C),RPM(rpm),Tmp1(@C),Rud,Ele,Thr,Ail,S1,S2,S3,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,
2016-02-21,04:11:14.640,30,75,5.2,23.4,44,1000,12,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,
2016-02-21,04:11:14.840,30,75,5.2,23.4,45,1001,13,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,
2016-02-21,04:11:15.040,30,75,5.2,23.4,46,1002,14,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,
2016-02-21,04:11:15.240,30,75,5.2,23.4,47,1003,15,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,
2016-02-21,04:11:15.440,30,75,5.2,23.4,48,1004,16,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,
2016-02-21,04:11:15.640,30,75,5.2,23.4,49,1005,17,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,
2016-02-21,04:11:15.840,30,75,5.2,23.4,50,1006,18,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,
2016-02-21,04:11:16.040,30,75,5.2,23.4,50,1007,19,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,
2016-02-21,04:11:16.240,30,75,5.2,23.4,50,1008,20,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,
2016-02-21,04:11:16.450,30,75,5.2,23.4,50,1009,21,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,
2016-02-21,04:11:16.650,30,75,5.2,23.4,50,1010,22,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,
2016-02-21,04:11:16.850,30,75,5.2,23.4,50,1011,23,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,
2016-02-21,04:11:17.050,30,75,5.2,23.4,50,1012,24,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,
2016-02-21,04:11:17.250,30,75,5.2,23.4,50,1013,25,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,
2016-02-21,04:11:17.450,30,75,5.2,23.4,50,1014,26,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,
2016-02-21,04:11:17.650,30,75,5.2,23.4,50,1015,27,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,
2016-02-21,04:11:17.850,30,75,5.2,23.4,50,1016,28,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,
2016-02-21,04:11:18.050,30,75,5.2,23.4,50,1017,29,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,
2016-02-21,04:11:18.250,30,75,5.2,23.4,50,2017,30,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,
2016-02-21,04:11:18.440,30,75,5.2,23.4,50,3017,31,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,
2016-02-21,04:11:18.650,30,75,5.2,23.4,50,4017,32,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,
2016-02-21,04:11:18.850,30,75,5.2,23.4,50,5017,33,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,
2016-02-21,04:11:19.040,30,75,5.2,23.4,50,6017,34,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,
2016-02-21,04:11:19.250,30,75,5.2,23.4,50,7017,35,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,
2016-02-21,04:11:19.450,30,75,5.2,23.4,50,8017,36,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,
2016-02-21,04:11:19.650,30,75,5.2,23.4,50,9017,37,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,
2016-02-21,04:11:19.850,30,75,5.2,23.4,50,10017,38,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,
2016-02-21,04:11:20.050,30,75,5.2,23.4,50,11017,39,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,
2016-02-21,04:11:20.250,30,75,5.2,23.4,50,11018,40,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,
2016-02-21,04:11:20.450,30,75,5.2,23.4,50,11019,41,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,
2016-02-21,04:11:20.650,30,75,5.2,23.4,50,11020,42,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,
2016-02-21,04:11:20.850,30,75,5.2,23.4,50,11021,43,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,
2016-02-21,04:11:21.050,30,75,5.2,23.4,50,11022,44,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,
2016-02-21,04:11:21.250,30,75,5.2,23.4,50,11023,45,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,
2016-02-21,04:11:21.450,30,75,5.2,23.4,50,11024,46,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,
2016-02-21,04:11:21.660,30,75,5.2,23.4,50,11025,47,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,
2016-02-21,04:11:21.870,30,75,5.2,23.4,50,11026,48,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,
2016-02-21,04:11:22.070,30,75,5.2,23.4,50,11027,49,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,
2016-02-21,04:11:22.270,30,75,5.2,23.4,50,11028,50,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,
2016-02-21,04:11:22.470,30,75,5.2,23.4,50,11029,51,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,
2016-02-21,04:11:22.670,30,75,5.2,23.4,50,11030,52,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,
2016-02-21,04:11:22.880,30,75,5.2,23.4,50,11031,53,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,
2016-02-21,04:11:23.080,30,75,5.2,23.4,50,11032,54,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,
2016-02-21,04:11:23.290,30,75,5.2,23.4,50,11033,54,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,
2016-02-21,04:11:23.500,30,75,5.2,23.4,50,11034,54,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,
2016-02-21,04:11:23.700,30,75,5.2,23.4,50,11035,54,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,
2016-02-21,04:11:23.900,30,75,5.2,23.4,50,11036,54,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,
2016-02-21,04:11:24.100,30,75,5.2,23.4,50,11037,54,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,
2016-02-21,04:11:24.300,30,75,5.2,23.4,50,11038,54,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,
